BUKU 1,,,,,,,,,,,,,
,,,,,,,,,,,,,
Bab,Nota Perubahan,Kalimah Asal (Arab),Jamak/Mufrad,Terjemahan (BM),Terjemahan (BI),Nota BM,Nota English,Nota Nahu (Arab),Nota Nahu (BM),Nota Nahu (English),Nota Sarf (Arab),Nota Sarf (BM),Nota Sarf (English)
16,,صَفْرَاءُ,"أَصْفَرُ (Mufrad Mz., Ruj: Bab 22 B1)",Kuning (P),Yellow (F),Kata sifat warna dalam bentuk muannath; bentuk muzakkarnya ialah أَصْفَرُ.,A feminine colour adjective; its masculine form is أَصْفَرُ.,اسم مشتق، صفة مؤنثة، معرب، ممنوع من الصرف لألف التأنيث الممدودة,Isim musytaq yang berfungsi sebagai sifat muannath. Ia mu‘rab dan mamnu‘ min al-sarf kerana alif ta’nith mamdudah.,"A derived feminine adjective, declinable as a diptote because it ends with the feminine extended alif.",صفة مشبهة على وزن فَعْلَاء، ومذكرها أَصْفَرُ,Sifah musyabbahah pada wazan فَعْلَاء; bentuk muzakkarnya ialah أَصْفَرُ.,A resemblance adjective on the pattern فَعْلَاء; its masculine form is أَصْفَرُ.
16,,خَضْرَاءُ,"أَخْضَرُ (Mufrad Mz., Ruj: Bab 22 B1)",Hijau (P),Green (F),Kata sifat warna dalam bentuk muannath; bentuk muzakkarnya ialah أَخْضَرُ.,A feminine colour adjective; its masculine form is أَخْضَرُ.,اسم مشتق، صفة مؤنثة، معرب، ممنوع من الصرف لألف التأنيث الممدودة,Isim musytaq yang berfungsi sebagai sifat muannath. Ia mu‘rab dan mamnu‘ min al-sarf kerana alif ta’nith mamdudah.,"A derived feminine adjective, declinable as a diptote because it ends with the feminine extended alif.",صفة مشبهة على وزن فَعْلَاء، ومذكرها أَخْضَرُ,Sifah musyabbahah pada wazan فَعْلَاء; bentuk muzakkarnya ialah أَخْضَرُ.,A resemblance adjective on the pattern فَعْلَاء; its masculine form is أَخْضَرُ.
16,,أَسْمَرُ,"سَمْرَاءُ (Muannath, Mamnu' Min Sarf)",Coklat / berkulit sawo matang,Brown / dark-complexioned (M),Kata sifat warna bagi muzakkar; boleh menerangkan warna coklat atau warna kulit yang gelap.,A masculine colour adjective that may describe brown colouring or a dark complexion.,اسم مشتق، صفة، مذكر، معرب، ممنوع من الصرف للوصفية ووزن أَفْعَل,Isim musytaq yang berfungsi sebagai sifat warna muzakkar. Ia mu‘rab dan mamnu‘ min al-sarf kerana wasfiyyah serta wazan أَفْعَل.,"A derived masculine colour adjective, declinable as a diptote because it is adjectival and follows the pattern أَفْعَل.",صفة مشبهة على وزن أَفْعَل، مؤنثها سَمْرَاءُ,Sifah musyabbahah pada wazan أَفْعَل; bentuk muannathnya ialah سَمْرَاءُ.,A resemblance adjective on the pattern أَفْعَل; its feminine form is سَمْرَاءُ.
16,,زَرْقَاءُ,"أَزْرَقُ (Mufrad Mz., Ruj: Bab 22 B1)",Biru (P),Blue (F),Kata sifat warna dalam bentuk muannath; bentuk muzakkarnya ialah أَزْرَقُ.,A feminine colour adjective; its masculine form is أَزْرَقُ.,اسم مشتق، صفة مؤنثة، معرب، ممنوع من الصرف لألف التأنيث الممدودة,Isim musytaq yang berfungsi sebagai sifat muannath. Ia mu‘rab dan mamnu‘ min al-sarf kerana alif ta’nith mamdudah.,"A derived feminine adjective, declinable as a diptote because it ends with the feminine extended alif.",صفة مشبهة على وزن فَعْلَاء، ومذكرها أَزْرَقُ,Sifah musyabbahah pada wazan فَعْلَاء; bentuk muzakkarnya ialah أَزْرَقُ.,A resemblance adjective on the pattern فَعْلَاء; its masculine form is أَزْرَقُ.
16,,أَشْيَاء,"شَيْءٌ (Mufrad, Ruj: Bab 9)",Benda-benda / perkara-perkara,Things,"Jamak bagi شَيْءٌ dan digunakan untuk benda, perkara atau hal.","The plural of شَيْءٌ, used for objects, matters, or things.",اسم، جمع تكسير، معرب، ممنوع من الصرف,Isim dalam bentuk jamak taksir. Kalimah ini mu‘rab tetapi mamnu‘ min al-sarf.,A broken plural noun that is declinable as a diptote.,جمع تكسير لشَيْءٌ، وفي تعليل وزنه ومنع صرفه خلاف صرفي مشهور,Jamak taksir bagi شَيْءٌ. Terdapat perbahasan sarf yang masyhur tentang asal wazan dan sebab ia mamnu‘ min al-sarf.,A broken plural of شَيْءٌ. Its underlying pattern and the explanation of its diptote status are classically disputed.
16,,مِلَفٌّ,مِلَفَّاتٌ (J. Muannath Salim),Fail,File / folder,Bekas atau himpunan dokumen; dalam penggunaan moden juga merujuk fail digital.,A folder or collection of documents; in modern usage it also refers to a digital file.,اسم، مذكر، معرب، مصروف,Isim muzakkar yang mu‘rab dan menerima tanwin.,A masculine noun that is declinable as a triptote.,اسم مضعف، وجمعه بالألف والتاء مِلَفَّاتٌ,Isim muda‘af; jamaknya dibentuk dengan alif dan ta menjadi مِلَفَّاتٌ.,A doubled noun; its plural is formed with alif and ta as مِلَفَّاتٌ.
16,Maklumat mufrad ditambah: bentuk tunggal yang lazim ialah طَبْشُورَةٌ. Analisis “Isim Jisim” diperincikan sebagai jamak taksir.,طَبَاشِيرُ,طَبْشُورَةٌ (Mufrad),Kapur tulis,Chalk,Bahan atau batang kapur yang digunakan untuk menulis pada papan hitam.,Chalk material or a stick of chalk used for writing on a blackboard.,اسم، جمع تكسير، معرب، ممنوع من الصرف لصيغة منتهى الجموع,Isim dalam bentuk jamak taksir. Kalimah ini mu‘rab tetapi mamnu‘ min al-sarf kerana sighah muntaha al-jumu‘.,"A broken plural noun, declinable as a diptote because it follows the final plural pattern.",جمع تكسير على وزن فَعَالِيل، من صيغة منتهى الجموع,Jamak taksir pada wazan فَعَالِيل dan termasuk sighah muntaha al-jumu‘.,"A broken plural on the pattern فَعَالِيل, belonging to the final plural pattern."
16,,زَهْرَةٌ,أَزْهَارٌ (J. Taksir),Bunga,Flower,Bahagian tumbuhan yang lazimnya berwarna dan menghasilkan buah atau biji.,The usually coloured part of a plant that produces fruit or seeds.,اسم، مؤنث، معرب، مصروف,Isim muannath yang mu‘rab dan menerima tanwin.,A feminine noun that is declinable as a triptote.,جمع تكسير أَزْهَارٌ على وزن أَفْعَال,Jamak taksirnya أَزْهَارٌ pada wazan أَفْعَال.,Its broken plural أَزْهَارٌ follows the pattern أَفْعَال.
16,,بَلَدِيَّةٌ,بَلَدِيَّاتٌ (J. Muannath Salim),Perbandaran / majlis perbandaran,Municipality,Badan pentadbiran tempatan bagi sesebuah bandar atau kawasan.,A local administrative authority for a town or district.,اسم، مؤنث، معرب، مصروف,Isim muannath yang mu‘rab dan menerima tanwin.,A feminine noun that is declinable as a triptote.,اسم منسوب إلى بَلَدٌ، وجمعه بالألف والتاء بَلَدِيَّاتٌ,Isim yang dinisbahkan kepada بَلَدٌ; jamaknya بَلَدِيَّاتٌ dengan alif dan ta.,A noun formed by attribution to بَلَدٌ; its plural is بَلَدِيَّاتٌ with alif and ta.
16,,عُمَرُ,,Umar,Umar,Nama khas.,A proper name.,اسم علم مذكر، معرب، ممنوع من الصرف للعلمية والعدل,Isim ‘alam muzakkar yang mu‘rab tetapi mamnu‘ min al-sarf kerana ‘alamiyyah dan ‘adl.,"A masculine proper noun, declinable as a diptote because of proper-name status and alteration.",اسم علم معدول على وزن فُعَل,Isim ‘alam ma‘dul pada wazan فُعَل.,A proper noun regarded as an altered form on the pattern فُعَل.
16,,زُفَرُ,,Zufar,Zufar,Nama khas.,A proper name.,اسم علم مذكر، معرب، ممنوع من الصرف للعلمية والعدل,Isim ‘alam muzakkar yang mu‘rab tetapi mamnu‘ min al-sarf kerana ‘alamiyyah dan ‘adl.,"A masculine proper noun, declinable as a diptote because of proper-name status and alteration.",اسم علم معدول على وزن فُعَل,Isim ‘alam ma‘dul pada wazan فُعَل.,A proper noun regarded as an altered form on the pattern فُعَل.
16,Ejaan dibetulkan daripada حُبَلُ kepada هُبَلُ kerana nama yang dimaksudkan ialah Hubal.,هُبَلُ,,Hubal,Hubal,Nama khas.,A proper name.,اسم علم مذكر، معرب، ممنوع من الصرف للعلمية ووزن فُعَل,Isim ‘alam muzakkar yang mu‘rab tetapi mamnu‘ min al-sarf kerana ‘alamiyyah serta wazan فُعَل.,"A masculine proper noun, declinable as a diptote because of proper-name status and its pattern فُعَل.",اسم علم على وزن فُعَل,Isim ‘alam pada wazan فُعَل.,A proper noun on the pattern فُعَل.
16,,زُحَلُ,,Zuhal (planet Saturn),Saturn,Nama khas.,A proper name.,اسم علم مذكر، معرب، ممنوع من الصرف للعلمية ووزن فُعَل,Isim ‘alam muzakkar yang mu‘rab tetapi mamnu‘ min al-sarf kerana ‘alamiyyah serta wazan فُعَل.,"A masculine proper noun, declinable as a diptote because of proper-name status and its pattern فُعَل.",اسم علم على وزن فُعَل,Isim ‘alam pada wazan فُعَل.,A proper noun on the pattern فُعَل.
16,,عَمْرُو,,Amru,ʿAmr,Nama khas lelaki. Huruf waw pada akhir ditulis untuk membezakannya daripada عُمَرُ dan bukan sebahagian daripada akar kata.,A masculine personal name. The final waw is written to distinguish it from عُمَرُ and is not part of the root.,اسم علم مذكر، معرب، مصروف,Isim ‘alam muzakkar yang mu‘rab dan munṣarif.,A masculine proper noun that is fully declinable.,الواو زائدة في الرسم للفرق بين عَمْرٍو وَعُمَرَ,Waw ialah tambahan dalam tulisan bagi membezakan عَمْرٌو daripada عُمَرُ.,The waw is an orthographic addition used to distinguish عَمْرٌو from عُمَرُ.
16,,غَيْرُ,,Selain / bukan,Other than / non-,"Digunakan untuk mengecualikan, menafikan persamaan atau menunjukkan sesuatu yang berlainan.","Used for exclusion, non-identity, or indicating something different.",اسم معرب، ملازم للإضافة غالبًا، ويعرب حسب موقعه في الجملة,Isim mu‘rab yang lazimnya menjadi mudaf. I‘rabnya berubah mengikut kedudukannya dalam ayat.,A declinable noun commonly used in annexation; its case depends on its syntactic position.,اسم جامد يفيد المغايرة والاستثناء بحسب السياق,Isim jamid yang menunjukkan perbezaan atau pengecualian mengikut konteks.,A non-derived noun expressing difference or exclusion depending on context.
16,"Label “J. Taksir” dibetulkan. تُفَّاحٌ ialah isim jins jam‘i, manakala تُفَّاحَةٌ menunjukkan satu biji.",تُفَّاحَةٌ,"تُفَّاحٌ (Isim Jins Jam‘i, Ruj: Bab 3 B1)",Sebiji epal,An apple,Menunjukkan satu biji daripada jenis buah تُفَّاحٌ.,Denotes one individual apple from the collective noun تُفَّاحٌ.,اسم، مفرد مؤنث، معرب، مصروف,Isim mufrad muannath yang mu‘rab dan menerima tanwin.,A feminine singular noun that is declinable as a triptote.,اسم وحدة بالتاء من اسم الجنس الجمعي تُفَّاحٌ,Isim wahdah yang dibentuk dengan ta daripada isim jins jam‘i تُفَّاحٌ.,A singulative noun formed with ta from the collective noun تُفَّاحٌ.
16,,غَابَ,"يَغِيبُ (Mudhari‘), غَيْبَةٌ / غِيَابٌ (Masdar)",Tidak hadir / hilang daripada pandangan,Be absent / disappear,Menunjukkan seseorang atau sesuatu tidak hadir atau tidak kelihatan.,Indicates that a person or thing is absent or out of sight.,فعل ماض، مبني على الفتح,Fi‘il madi yang mabni atas fathah.,A past-tense verb built on fatḥ.,فعل ثلاثي مجرد، أجوف يائي، من غَابَ يَغِيبُ، ومن مصادره غَيْبَةٌ وغِيَابٌ,Fi‘il thulathi mujarrad dan ajwaf ya’i. Mudari‘nya يَغِيبُ; antara masdarnya غَيْبَةٌ dan غِيَابٌ.,A basic triliteral hollow verb with ya as its medial radical. Its present is يَغِيبُ; its verbal nouns include غَيْبَةٌ and غِيَابٌ.
16,Masdar dibetulkan daripada شِرَاءٌ kepada اِشْتِرَاءٌ bagi fi‘il اِشْتَرَى.,اِشْتَرَى,"يَشْتَرِي (Mudhari‘), اِشْتِرَاءٌ (Masdar)",Membeli,Buy / purchase,Mendapatkan sesuatu dengan membayar harganya.,To obtain something by paying its price.,فعل ماض، مبني على الفتح المقدر على الألف للتعذر,Fi‘il madi yang mabni atas fathah muqaddarah pada alif kerana ta‘azzur.,A past-tense verb built on an estimated fatḥ on the final alif.,فعل ثلاثي مزيد بحرفين على وزن اِفْتَعَلَ، ناقص يائي، ومصدره اِشْتِرَاءٌ,Fi‘il thulathi mazid dengan dua huruf pada wazan اِفْتَعَلَ dan tergolong sebagai naqis ya’i. Masdarnya اِشْتِرَاءٌ.,"A triliteral verb augmented by two letters on the pattern اِفْتَعَلَ. It is final-weak with ya, and its verbal noun is اِشْتِرَاءٌ."
17,Entri لَامُ التَّعْلِيلِ ditambah bersama penerangan dan contoh penggunaan.,لَامُ التَّعْلِيلِ,,Lam sebab / Lam tujuan,Causal lām / Lām of purpose,"Digunakan untuk menerangkan sebab atau tujuan sesuatu perbuatan. Apabila memasuki fi‘il mudhari‘, fi‘il tersebut menjadi mansub dengan أَنْ yang tersembunyi. Contoh: ذَهَبْتُ إِلَى الْمَسْجِدِ لِأُصَلِّيَ — Saya pergi ke masjid untuk bersolat.","The lām of purpose explains the reason or purpose of an action. When it precedes a present-tense verb, the verb becomes subjunctive through an implied أَنْ. Example: ذَهَبْتُ إِلَى الْمَسْجِدِ لِأُصَلِّيَ — I went to the mosque to pray.",مُصْطَلَحٌ نَحْوِيٌّ مُرَكَّبٌ إِضَافِيٌّ؛ وَاللَّامُ حَرْفُ جَرٍّ وَتَعْلِيلٍ مَبْنِيٌّ عَلَى الْكَسْرِ. وَإِذَا دَخَلَتْ عَلَى الْفِعْلِ الْمُضَارِعِ نُصِبَ بِأَنْ مُضْمَرَةٍ بَعْدَهَا,"Istilah nahu berbentuk murakkab idafi. Lam tersebut ialah harf jar dan ta‘lil yang mabni atas kasrah. Apabila memasuki fi‘il mudhari‘, fi‘il itu menjadi mansub dengan أَنْ yang tersembunyi selepas lam.","A grammatical term formed as an annexation. The lām itself is an indeclinable preposition expressing cause or purpose. When it precedes a present-tense verb, the verb is made subjunctive by an implied أَنْ.",,,
17,,عُطْلَةٌ,عُطَلٌ (J. Taksir),Cuti,Holiday / vacation,Tempoh seseorang berhenti daripada kerja atau pengajian.,A period away from work or study.,اسم، مؤنث، معرب، مصروف,Isim muannath yang mu‘rab dan menerima tanwin.,A feminine noun that is declinable as a triptote.,جمع تكسير عُطَلٌ على وزن فُعَل,Jamak taksirnya عُطَلٌ pada wazan فُعَل.,Its broken plural عُطَلٌ follows the pattern فُعَل.
17,,عِلَاجٌ,,Rawatan,Treatment / therapy,Usaha atau kaedah untuk merawat penyakit atau masalah.,A method or course of action used to treat an illness or problem.,اسم، مصدر، مذكر، معرب، مصروف,Isim masdar muzakkar yang mu‘rab dan menerima tanwin.,A masculine verbal noun that is declinable as a triptote.,مصدر عَالَجَ يُعَالِجُ على وزن فِعَال,Masdar bagi عَالَجَ يُعَالِجُ pada wazan فِعَال.,The verbal noun of عَالَجَ يُعَالِجُ on the pattern فِعَال.
17,,عَامٌ,أَعْوَامٌ (J. Taksir),Tahun,Year,Tempoh masa dua belas bulan.,A period of twelve months.,اسم، مذكر، معرب، مصروف,Isim muzakkar yang mu‘rab dan menerima tanwin.,A masculine noun that is declinable as a triptote.,جمع تكسير أَعْوَامٌ على وزن أَفْعَال,Jamak taksirnya أَعْوَامٌ pada wazan أَفْعَال.,Its broken plural أَعْوَامٌ follows the pattern أَفْعَال.
17,,الْمُقْبِلُ,الْمُقْبِلَةُ (Muannath),Yang akan datang,Coming / next,Menunjukkan sesuatu yang akan tiba atau berlaku selepas waktu sekarang.,Describes something that will arrive or occur after the present time.,اسم مشتق، صفة، مذكر، معرف بأل، معرب,"Isim musytaq yang berfungsi sebagai sifat muzakkar, dimakrifahkan dengan alif lam dan bersifat mu‘rab.",A derived masculine adjective made definite with the article and is declinable.,اسم فاعل من أَقْبَلَ يُقْبِلُ على وزن مُفْعِل,Isim fa‘il daripada أَقْبَلَ يُقْبِلُ pada wazan مُفْعِل.,An active participle from أَقْبَلَ يُقْبِلُ on the pattern مُفْعِل.
17,Terjemahan BM diperincikan daripada “Kenabian” kepada “berkaitan Nabi / kenabian” kerana نَبَوِيٌّ ialah kata sifat.,نَبَوِيٌّ,نَبَوِيَّةٌ (Muannath),Berkaitan Nabi / kenabian,Prophetic,Kata nisbah yang menerangkan sesuatu yang berkaitan dengan Nabi atau kenabian.,A relational adjective describing something connected with a prophet or prophethood.,اسم منسوب، صفة، مذكر، معرب، مصروف,"Isim mansub yang berfungsi sebagai sifat muzakkar, mu‘rab dan menerima tanwin.",A masculine relational adjective that is declinable as a triptote.,اسم منسوب إلى نَبِيٌّ بزيادة ياء النسب,Isim nisbah daripada نَبِيٌّ dengan penambahan ya nisbah.,A relational adjective formed from نَبِيٌّ by adding the nisba ya.
17,,هَوَاءٌ,أَهْوِيَةٌ (J. Taksir),Udara,Air,Campuran gas yang mengelilingi bumi dan dihirup oleh makhluk hidup.,The mixture of gases surrounding the earth and breathed by living beings.,اسم، مذكر، معرب، مصروف,Isim muzakkar yang mu‘rab dan menerima tanwin.,A masculine noun that is declinable as a triptote.,اسم ممدود، وجمعه أَهْوِيَةٌ على وزن أَفْعِلَة,Isim mamdud; jamaknya أَهْوِيَةٌ pada wazan أَفْعِلَة.,An extended noun; its broken plural أَهْوِيَةٌ follows the pattern أَفْعِلَة.
17,Label “Isim Jamak” diperincikan kepada isim jins jam‘i. Ejaan jamak diperincikan sebagai ذِبَّانٌ.,ذُبَابٌ,"ذُبَابَةٌ (Isim Wahdah), ذِبَّانٌ (Jamak)",Lalat sebagai jenis / kumpulan,Flies / the fly species,Isim jins jam‘i yang merujuk jenis atau kumpulan lalat; satu ekor disebut ذُبَابَةٌ.,A collective generic noun referring to flies as a species or group; one fly is ذُبَابَةٌ.,اسم جنس جمعي، مذكر، معرب، مصروف,Isim jins jam‘i muzakkar yang mu‘rab dan menerima tanwin.,A masculine collective generic noun that is declinable as a triptote.,اسم جنس جمعي، واسم الوحدة منه ذُبَابَةٌ، ومن جموعه ذِبَّانٌ,Isim jins jam‘i; bentuk satuannya ذُبَابَةٌ dan antara bentuk jamaknya ذِبَّانٌ.,"A collective generic noun; its singulative is ذُبَابَةٌ, and one of its plurals is ذِبَّانٌ."
17,,سَبَبٌ,أَسْبَابٌ (J. Taksir),Sebab,Reason / cause,Perkara yang membawa kepada berlakunya sesuatu hasil atau keadaan.,Something that brings about a result or condition.,اسم، مذكر، معرب، مصروف,Isim muzakkar yang mu‘rab dan menerima tanwin.,A masculine noun that is declinable as a triptote.,جمع تكسير أَسْبَابٌ على وزن أَفْعَال,Jamak taksirnya أَسْبَابٌ pada wazan أَفْعَال.,Its broken plural أَسْبَابٌ follows the pattern أَفْعَال.
17,,مِصْرُ,,Mesir,Egypt,Nama khas bagi negara Mesir.,The proper name of Egypt.,اسم علم مؤنث، معرب، ممنوع من الصرف للعلمية والتأنيث,Isim ‘alam muannath bagi nama negara. Ia mu‘rab tetapi mamnu‘ min al-sarf kerana ‘alamiyyah dan ta’nith.,"A feminine geographical proper noun, declinable as a diptote because of proper-name status and femininity.",اسم جامد,Isim jamid.,A non-derived noun.
17,,هُدُوءٌ,,Ketenangan / kesunyian,Calmness / quiet,"Keadaan yang tenang, tidak bising atau tidak bergelora.","A state of calm, quietness, or absence of disturbance.",اسم، مصدر، مذكر، معرب، مصروف,Isim masdar muzakkar yang mu‘rab dan menerima tanwin.,A masculine verbal noun that is declinable as a triptote.,مصدر هَدَأَ يَهْدَأُ، وهو مهموز اللام,Masdar bagi هَدَأَ يَهْدَأُ; akarnya mahmuz al-lam.,The verbal noun of هَدَأَ يَهْدَأُ; its root is hamzated in the final radical.
17,,إِعْلَانٌ,إِعْلَانَاتٌ (J. Muannath Salim),Iklan / pengumuman,Advertisement / announcement,Maklumat yang diumumkan kepada orang ramai; boleh berupa iklan atau pengumuman.,Information made public; it may be an advertisement or announcement.,اسم، مصدر، مذكر، معرب، مصروف,Isim masdar muzakkar yang mu‘rab dan menerima tanwin.,A masculine verbal noun that is declinable as a triptote.,مصدر أَعْلَنَ يُعْلِنُ على وزن إِفْعَال، وجمعه بالألف والتاء,Masdar bagi أَعْلَنَ يُعْلِنُ pada wazan إِفْعَال; jamaknya dibentuk dengan alif dan ta.,The verbal noun of أَعْلَنَ يُعْلِنُ on the pattern إِفْعَال; its plural is formed with alif and ta.
17,,أَهْلٌ,أَهَالٍ (J. Taksir),Keluarga / kaum / penduduk,Family / people / inhabitants,"Maknanya berubah mengikut idafah, seperti ahli keluarga, penduduk tempat atau golongan tertentu.","Its meaning varies by annexation, such as family members, inhabitants, or a particular group.",اسم جمع، مذكر، معرب، مصروف,"Isim jam‘ yang bersifat muzakkar, mu‘rab dan menerima tanwin.",A masculine collective noun that is declinable as a triptote.,له جمع تكسير أَهَالٍ، وهو اسم منقوص في حالتي الرفع والجر إذا كان نكرة,Jamak taksirnya أَهَالٍ. Bentuk jamak ini mengikuti hukum isim manqus ketika nakirah dalam keadaan rafa‘ dan jar.,"Its broken plural is أَهَالٍ, which follows the declension of a manqus noun when indefinite in the nominative and genitive."
17,,ظَرْفٌ,ظُرُوفٌ (J. Taksir),Sampul / keadaan,Envelope / circumstance,"Boleh bermaksud sampul surat atau keadaan dan situasi, bergantung pada konteks.","It may mean an envelope or a circumstance, depending on context.",اسم، مذكر، معرب، مصروف,Isim muzakkar yang mu‘rab dan menerima tanwin.,A masculine noun that is declinable as a triptote.,جمع تكسير ظُرُوفٌ على وزن فُعُول,Jamak taksirnya ظُرُوفٌ pada wazan فُعُول.,Its broken plural ظُرُوفٌ follows the pattern فُعُول.
17,,ضَوْضَاء,ضَوَاضِيءُ (J. Taksir),Kebisingan / hiruk-pikuk,Noise / clamour,"Bunyi yang kuat, bercampur atau mengganggu.","Loud, mixed, or disturbing sound.",اسم مؤنث، معرب، ممنوع من الصرف لألف التأنيث الممدودة,Isim muannath yang mu‘rab tetapi mamnu‘ min al-sarf kerana alif ta’nith mamdudah.,"A feminine noun, declinable as a diptote because it ends with the feminine extended alif.",اسم ممدود على وزن فَعْلَاء، ويجمع في الاستعمال المعاصر على ضَوْضَاءَاتٌ,"Isim mamdud pada wazan فَعْلَاء; dalam penggunaan moden, jamaknya ضَوْضَاءَاتٌ.",An extended noun on the pattern فَعْلَاء; in modern usage its plural is ضَوْضَاءَاتٌ.
17,,عَشَاءٌ,,Makan malam,Dinner / evening meal,Makanan yang dimakan pada waktu malam.,A meal eaten in the evening or at night.,اسم، مذكر، معرب، مصروف,Isim muzakkar yang mu‘rab dan menerima tanwin.,A masculine noun that is declinable as a triptote.,اسم ممدود، وهمزته ليست للتأنيث,Isim mamdud; hamzahnya bukan hamzah ta’nith.,An extended noun whose final hamza is not a feminine marker.
17,Analisis “Mamnu' Min Sarf” dibetulkan. آخَرُونَ ialah jamak muzakkar salim dan tidak dihuraikan sebagai mamnu‘ min al-sarf.,آخَرُونَ,آخَرُ (Mufrad),Yang lain (Jamak L),Others (M),Bentuk jamak muzakkar bagi آخَرُ.,The masculine plural form of آخَرُ.,اسم مشتق، صفة، جمع مذكر سالم، معرب؛ يرفع بالواو وينصب ويجر بالياء,Isim musytaq yang berfungsi sebagai sifat dalam bentuk jamak muzakkar salim. Ia dirafa‘kan dengan waw serta dinasabkan dan dijarkan dengan ya.,A derived adjective in the sound masculine plural. It is nominative with waw and accusative or genitive with ya.,جمع مذكر سالم لآخَرُ,Jamak muzakkar salim bagi آخَرُ.,The sound masculine plural of آخَرُ.
17,,فَصْلٌ,"فُصُولٌ (J. Taksir, Ruj: Bab 4)",Musim / kelas / bab,Season / class / chapter,"Maknanya bergantung pada konteks: musim, kelas, bab atau bahagian.","Its meaning depends on context: season, class, chapter, or section.",اسم، مذكر، معرب، مصروف,Isim muzakkar yang mu‘rab dan menerima tanwin.,A masculine noun that is declinable as a triptote.,جمع تكسير فُصُولٌ على وزن فُعُول,Jamak taksirnya فُصُولٌ pada wazan فُعُول.,Its broken plural فُصُولٌ follows the pattern فُعُول.
17,,الشِّتَاءُ,,Musim sejuk,Winter,Nama salah satu musim dalam setahun.,The name of one of the seasons of the year.,اسم، مذكر، معرف بأل، معرب,Isim muzakkar yang dimakrifahkan dengan alif lam dan bersifat mu‘rab.,A masculine noun made definite with the article and is declinable.,اسم جامد,Isim jamid.,A non-derived noun.
17,,الصَّيْفُ,,Musim panas,Summer,Nama salah satu musim dalam setahun.,The name of one of the seasons of the year.,اسم، مذكر، معرف بأل، معرب,Isim muzakkar yang dimakrifahkan dengan alif lam dan bersifat mu‘rab.,A masculine noun made definite with the article and is declinable.,اسم جامد,Isim jamid.,A non-derived noun.
17,,الرَّبِيعُ,,Musim bunga,Spring,Nama salah satu musim dalam setahun.,The name of one of the seasons of the year.,اسم، مذكر، معرف بأل، معرب,Isim muzakkar yang dimakrifahkan dengan alif lam dan bersifat mu‘rab.,A masculine noun made definite with the article and is declinable.,اسم جامد,Isim jamid.,A non-derived noun.
17,,الْخَرِيفُ,,Musim luruh,Autumn / fall,Nama salah satu musim dalam setahun.,The name of one of the seasons of the year.,اسم، مذكر، معرف بأل، معرب,Isim muzakkar yang dimakrifahkan dengan alif lam dan bersifat mu‘rab.,A masculine noun made definite with the article and is declinable.,اسم جامد,Isim jamid.,A non-derived noun.
17,,بَقِيَ,"يَبْقَى (Mudhari‘), بَقَاءٌ (Masdar)",Kekal / tinggal,Remain / stay,Terus berada dalam sesuatu keadaan atau tempat.,To continue in a state or place.,فعل ماض، مبني على الفتح,Fi‘il madi yang mabni atas fathah.,A past-tense verb built on fatḥ.,فعل ثلاثي مجرد، ناقص يائي، من بَقِيَ يَبْقَى، ومصدره بَقَاءٌ,Fi‘il thulathi mujarrad dan naqis ya’i. Mudari‘nya يَبْقَى dan masdarnya بَقَاءٌ.,A basic triliteral final-weak verb with ya. Its present is يَبْقَى and its verbal noun is بَقَاءٌ.
17,Analisis Sarf diperincikan kepada naqis wawi.,أَرْجُو أَنْ...,"رَجَا يَرْجُو (Madhi/Mudhari‘), رَجَاءٌ (Masdar)",Saya berharap untuk / bahawa...,I hope to / that...,"Ungkapan untuk menyatakan harapan. Selepas أَنْ, fi‘il mudari‘ menjadi mansub.",An expression of hope. A present-tense verb following أَنْ is in the subjunctive.,تركيب فعلي؛ أَرْجُو فعل مضارع مرفوع بضمة مقدرة، والفاعل ضمير مستتر تقديره أنا، وأَنْ حرف مصدري ونصب,Frasa fi‘li. أَرْجُو ialah fi‘il mudari‘ marfu‘ dengan dammah muqaddarah dan fa‘ilnya dhamir mustatir bermaksud “saya”. أَنْ ialah harf masdari dan nasb.,"A verbal construction: أَرْجُو is an indicative present verb with an estimated ḍamma, its subject is a concealed pronoun meaning “I”, and أَنْ is a subordinating particle that makes the following present verb subjunctive.",أَرْجُو من رَجَا يَرْجُو، وهو فعل ناقص واوي، ومصدره رَجَاءٌ,أَرْجُو berasal daripada رَجَا يَرْجُو. Ia fi‘il naqis wawi dan masdarnya رَجَاءٌ.,"أَرْجُو comes from رَجَا يَرْجُو. It is a final-weak verb with waw, and its verbal noun is رَجَاءٌ."
